,publishedAt,id,title,views,likes,comments
0,2020-03-15T08:55:57Z,KyKQrJJozBI,Тестирование. Простой пример на Pytest,4530,113,7
1,2020-02-17T07:29:13Z,w8O6apM3aBw,REST API (Python): Пример,21230,402,42
2,2020-05-03T07:40:39Z,B68Ww5vgx2A,REST API (Python): Авторизация. Flask-JWT-Extended,3020,84,3
3,2020-05-11T06:54:15Z,cMz7J7iFuK8,REST API (Python): Marshmallow. Сериализация и десериализация данных,2521,63,28
4,2020-07-13T16:52:53Z,28w7848Sj08,REST API (Python): миграции. Alembic,1392,44,4
5,2020-02-29T11:24:30Z,_pK0aUPpX_Q,"REST API (Python, Flask): запросы PUT и DELETE",3208,106,8
6,2020-06-10T04:58:25Z,tS4w17WYcso,REST API (Python): деплой на Linux сервер с помощью Docker,917,31,4
7,2020-06-15T16:48:54Z,qISyRlPRmcM,Установка Celery и  RabbitMQ,1576,50,6
8,2020-05-23T13:40:25Z,bgnRGNhiOOY,REST API (Python): Обработка исключений SqlAlchemy,568,34,1
9,2020-05-08T15:32:30Z,90DnUhSDzKY,REST API (Python): Авторизация - часть 2. Flask-JWT-Extended,2592,83,19
10,2020-04-11T08:36:14Z,pV0p1M3ikbU,"REST API(Python, Flask): База данных. SqlAlchemy ORM | Часть 1",3458,88,7
11,2020-07-08T15:37:57Z,yn_Ul28qljg,REST API (Python) конфигурация Flask CORS,471,22,0
12,2020-05-17T13:14:18Z,ck_6F4AU9iY,REST API (Python): Обработка и логирование исключений,1079,41,2
13,2021-03-14T14:40:20Z,QfjBKOhZzLs,"Python и базы данных. SqlAlchemy. Query, Join, lazy loading",486,23,4
14,2021-02-20T15:08:20Z,jTnlne2iw00,Python и базы данных. SqlAlchemy. Введение,1005,38,2
15,2020-06-06T13:05:01Z,SaTsGuAWVNU,REST API (Python): Автоматизация тестов с помощью фреймворка на Pytest,2081,37,6
16,2019-07-30T12:17:51Z,veNUV_BLA6s,The7 Wordpress Theme: How to Make Web Page,4168,28,3
17,2020-05-28T05:39:38Z,DYxcKIBEISE,REST API (Python): Blueprints и модульная архитектура,821,38,2
18,2021-05-15T03:28:56Z,B6qH-vStUP8,"Проект Pythonclassic. Где найти задачи на Python, примеры кода",223,11,3
19,2020-08-02T15:46:29Z,QCRwvU3Ju84,Vue.js + Flask: регистрация и авторизация (часть 2),857,20,3
20,2021-03-06T17:02:29Z,Oa73RC8wFvw,"Python и базы данных. SqlAlchemy. Relationships, первичный и вторичный ключи",1354,38,5
21,2020-07-18T07:05:07Z,9RUdDoCbYoE,REST API (Python): Вебсокеты. Flask-SocketIO,1030,26,7
22,2020-07-25T14:39:53Z,OmqEsrzKy6A,Celery + Django. Загрузка файлов,680,17,9
23,2021-04-05T14:26:18Z,_QjHT4u6uxc,Python и базы данных. SqlAlchemy. Сессия,504,19,1
24,2020-06-24T15:35:36Z,v2EC9rNxyTk,Интеграция Celery + Flask,1106,28,5
25,2020-05-31T09:44:13Z,3ZQ9bnkg8zw,REST API (Python): Flask Pluggable Views | как писать view-классы,696,23,2
26,2021-05-23T08:39:14Z,g98cofL3zLo,"Python и базы данных. SqlAlchemy. Cascades, транзакции",271,17,3
27,2020-12-20T12:35:55Z,_Xu4DI2BlGc,REST API (Python): Админ-панель. Часть 3 - декоратор для ограничения доступа к админке,348,15,2
28,2020-07-07T10:46:08Z,nQaE4x1yFG0,Запросы к API. Vuex,278,8,0
29,2020-07-29T15:27:55Z,ShnuYy9q1bM,Vue.js + Flask: регистрация и авторизация (часть 1),1153,22,6
30,2020-07-04T10:43:19Z,rP0LY-eJocw,Vue-компонент на bootstrap. Axios,298,11,2
31,2020-07-05T12:42:05Z,UMYcoYAlvng,"REST API (Python) загрузка файлов. Celery, S3",589,18,1
32,2020-09-20T17:44:27Z,IDemzX6m8O0,REST API (Python): Админ-панель. Часть 1 модель данных,556,17,1
33,2020-06-30T07:15:24Z,H_YaI8QrjHs,Веб-приложение на Vue.js. Создание проекта,893,22,4
34,2020-04-19T05:25:37Z,lxd7qSo5vNc,"REST API(Python, Flask): База данных. SqlAlchemy ORM | Часть 2",1683,69,8
35,2020-11-02T05:07:17Z,s_62LUiOIwA,REST API (Python): Админ-панель. Часть 2 - роуты,332,14,6
36,2020-07-01T02:53:34Z,PnQFIRNWgYs,В гостях C++ программист Владимир Победоносный. Говорим о C++ на примере реального кода,129,2,0
37,2017-04-23T06:49:01Z,_XfF0sEUNbI,Каменный грифон из Алтайского района,1763,8,1
38,2020-06-14T15:57:11Z,b6xn2Z-brx0,Наконец-то вышел из дома | о главном навыке программиста,184,9,3
39,2020-06-26T15:32:43Z,yjU7k3xGcYU,Как сосредоточиться? О важности тишины для программиста,68,7,1
40,2017-04-24T13:28:46Z,38nN1p6d4Ik,"Алтай, мегалит с горы Мохнатой",263,2,0
41,2017-04-24T12:47:11Z,buNcUioBMns,"Гора Мохнатая, Алтай",387,1,0
42,2020-06-21T14:14:04Z,oRSJ18JZI8U,Загрузка файлов в S3 облако с помощью Celery,434,19,10
43,2020-06-18T16:14:37Z,WWxdZoUhTAU,Vue.js LIVE - пишу код и отвечаю на вопросы,75,4,3
44,2017-04-18T09:01:38Z,udVC0vYH3D4,Презентация находок мегалитических объектов на Алтае 2017,327,9,1
